"File","Size Before (KB)","Size After (KB)","Reduction (KB)","Reduction (%)"
"/dist/assets/images/posts/20220917/azurite/cover_image.png","15,84","15,83","0,01","0,06"
"/dist/assets/images/posts/20220917/azurite/cover_image.png.webp","20,37","20,37","0","0"
"/dist/assets/images/posts/20240806/markdown-preview/001_RootPreview.png","109,19","107,77","1,42","1,3"
"/dist/assets/images/posts/20240806/markdown-preview/001_RootPreview.png.webp","82,36","82,36","0","0"
"/dist/assets/images/posts/20240806/markdown-preview/002_FolderPreview.png","101,05","103,82","-2,77","-2,74"
"/dist/assets/images/posts/20240806/markdown-preview/002_FolderPreview.png.webp","69,85","69,85","0","0"
"/dist/assets/images/posts/20240806/markdown-preview/003_SymlinkPreview.png","106,97","105,62","1,35","1,26"
"/dist/assets/images/posts/20240806/markdown-preview/003_SymlinkPreview.png.webp","78,81","78,81","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/001_npe_initial_metadata.png","196,21","198,7","-2,49","-1,27"
"/dist/assets/images/posts/20210327/nuget-metadata/001_npe_initial_metadata.png.webp","265,73","265,73","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/002_console_logger_info.png","616,24","629,73","-13,49","-2,19"
"/dist/assets/images/posts/20210327/nuget-metadata/002_console_logger_info.png.webp","602,12","602,12","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/003_npe_author_metadata.png","215,73","218,89","-3,16","-1,46"
"/dist/assets/images/posts/20210327/nuget-metadata/003_npe_author_metadata.png.webp","305,61","305,61","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/004_vs2019_author_metadata.png","108,06","107,56","0,5","0,46"
"/dist/assets/images/posts/20210327/nuget-metadata/004_vs2019_author_metadata.png.webp","142,33","142,33","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/005_npe_includingfiles_metadata.png","251,54","260,56","-9,02","-3,59"
"/dist/assets/images/posts/20210327/nuget-metadata/005_npe_includingfiles_metadata.png.webp","320,78","320,78","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/006_npe_buildpropsv1.png","233,66","237,7","-4,04","-1,73"
"/dist/assets/images/posts/20210327/nuget-metadata/006_npe_buildpropsv1.png.webp","317,01","317,01","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/007_npe_buildpropsv2.png","242,39","249,26","-6,87","-2,83"
"/dist/assets/images/posts/20210327/nuget-metadata/007_npe_buildpropsv2.png.webp","321,78","321,78","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/008_npe_buildpropsv3.png","229,45","240,56","-11,11","-4,84"
"/dist/assets/images/posts/20210327/nuget-metadata/008_npe_buildpropsv3.png.webp","308,4","308,4","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/009_npe_repoinfo.png","273,89","270,89","3","1,1"
"/dist/assets/images/posts/20210327/nuget-metadata/009_npe_repoinfo.png.webp","375,95","375,95","0","0"
"/dist/assets/images/posts/20210327/nuget-metadata/cover_image.png","40,15","40,16","-0,01","-0,02"
"/dist/assets/images/posts/20210327/nuget-metadata/cover_image.png.webp","38,64","38,64","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/001_vs2019_sln_all_projects.png","30,42","31,1","-0,68","-2,24"
